Age,Gender,MaritalStatus,IncomeLevel,NumTransactions,TotalAmountSpent,AvgTransactionAmount,NumServiceInteractions,NumUnresolvedIssues,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
62,M,Single,Low,1,416.5,416.5,1,0,2023-10-21,34,Mobile App,0
65,M,Married,Low,7,1547.4199999999998,221.05999999999997,1,0,2023-12-05,5,Website,1
18,M,Single,Low,6,1702.98,283.83,1,0,2023-11-15,3,Website,0
21,M,Widowed,Low,5,917.29,183.458,2,1,2023-08-25,2,Website,0
21,M,Divorced,Medium,8,2001.49,250.18625,0,0,2023-10-27,41,Website,0
57,F,Divorced,Medium,5,1164.29,232.858,1,0,2023-09-17,2,Website,0
27,F,Married,High,1,86.73,86.73,0,0,2023-01-07,32,Mobile App,0
37,M,Single,Low,7,2046.88,292.4114285714286,2,2,2023-04-22,17,Online Banking,1
39,M,Divorced,High,5,1317.24,263.448,1,0,2023-06-27,24,Website,0
68,M,Married,High,7,1397.36,199.62285714285713,0,0,2023-01-13,29,Online Banking,1
54,M,Divorced,Medium,5,1733.83,346.76599999999996,2,1,2023-01-22,30,Online Banking,0
41,F,Married,Low,1,87.1,87.1,2,1,2023-12-31,43,Website,0
24,F,Divorced,Low,3,392.02,130.67333333333332,1,0,2023-07-05,10,Mobile App,0
42,M,Widowed,Medium,9,2843.59,315.95444444444445,2,1,2023-01-10,26,Online Banking,0
42,M,Divorced,Medium,8,1914.02,239.2525,2,2,2023-06-15,44,Online Banking,0
30,F,Single,Medium,9,2019.79,224.42111111111112,2,0,2023-03-15,41,Online Banking,1
19,M,Married,Low,7,1625.27,232.18142857142857,2,1,2023-09-03,8,Online Banking,0
56,F,Married,High,5,951.3800000000001,190.276,1,1,2023-11-24,37,Website,1
57,F,Divorced,High,5,1017.26,203.452,2,2,2023-03-08,39,Online Banking,0
41,M,Single,Low,9,2775.85,308.42777777777775,1,0,2023-08-15,16,Website,0
64,M,Divorced,High,5,913.02,182.60399999999998,0,0,2023-06-16,18,Website,0
42,F,Divorced,Low,6,1582.73,263.78833333333336,2,0,2023-05-06,42,Mobile App,0
35,F,Divorced,Low,4,1490.74,372.685,2,1,2023-07-07,19,Mobile App,0
55,M,Widowed,Medium,5,1143.22,228.644,1,0,2023-10-04,12,Mobile App,0
43,F,Married,Low,3,764.77,254.92333333333332,1,0,2023-02-15,27,Mobile App,0
31,M,Single,Medium,3,571.76,190.58666666666667,1,0,2023-09-29,45,Mobile App,1
26,M,Widowed,Medium,8,2210.6,276.325,1,1,2023-10-01,22,Mobile App,0
27,F,Widowed,High,6,1702.26,283.71,2,2,2023-10-26,42,Online Banking,0
38,F,Divorced,Medium,3,853.0699999999999,284.3566666666666,2,1,2023-09-02,34,Website,0
69,M,Divorced,High,2,706.66,353.33,2,1,2023-07-12,38,Website,0
34,M,Divorced,Low,5,1108.56,221.712,2,0,2023-08-17,23,Online Banking,0
69,F,Married,High,5,1225.52,245.10399999999998,0,0,2023-01-06,48,Mobile App,0
23,M,Divorced,High,2,689.0,344.5,1,0,2023-05-19,24,Mobile App,1
33,M,Widowed,High,9,1886.4,209.60000000000002,2,1,2023-04-03,44,Online Banking,0
65,M,Married,Low,3,779.8399999999999,259.94666666666666,1,1,2023-05-23,19,Mobile App,0
18,F,Widowed,Low,6,1321.5500000000002,220.25833333333335,1,0,2023-02-11,6,Online Banking,0
36,F,Married,Medium,9,3166.88,351.8755555555556,1,0,2023-08-28,3,Online Banking,0
53,F,Married,Low,3,874.86,291.62,1,0,2023-11-27,47,Online Banking,0
42,M,Married,Medium,5,1191.94,238.388,0,0,2023-01-20,26,Online Banking,0
67,F,Widowed,Low,7,1578.3500000000001,225.47857142857146,1,0,2023-10-14,20,Website,0
69,F,Married,High,2,363.22,181.61,1,1,2023-07-04,38,Mobile App,1
47,M,Widowed,Medium,3,530.61,176.87,0,0,2023-07-17,10,Mobile App,0
37,M,Single,Low,7,2213.63,316.23285714285714,2,1,2023-05-25,25,Mobile App,0
37,F,Widowed,Low,3,687.8199999999999,229.2733333333333,1,1,2023-11-13,35,Mobile App,0
32,F,Widowed,Low,1,300.42,300.42,1,1,2023-09-02,49,Online Banking,0
57,F,Married,High,1,134.67,134.67,0,0,2023-07-31,24,Online Banking,1
50,F,Married,Medium,7,1466.37,209.48142857142855,0,0,2023-04-19,21,Website,0
19,M,Divorced,Medium,7,1597.29,228.18428571428572,0,0,2023-06-12,34,Website,0
27,F,Single,Medium,3,641.48,213.82666666666668,0,0,2023-02-19,18,Online Banking,0
50,F,Single,Low,4,1514.62,378.655,2,2,2023-07-15,19,Online Banking,0
49,M,Divorced,Medium,3,549.86,183.28666666666666,0,0,2023-10-31,3,Mobile App,1
28,M,Widowed,Medium,1,401.25,401.25,0,0,2023-02-16,6,Mobile App,0
41,F,Widowed,Low,7,1255.34,179.3342857142857,0,0,2023-10-02,20,Mobile App,0
53,F,Married,Low,2,461.21000000000004,230.60500000000002,2,0,2023-01-20,22,Online Banking,0
29,F,Single,Low,5,1129.35,225.86999999999998,0,0,2023-08-18,33,Website,0
68,F,Married,Low,5,1443.46,288.692,0,0,2023-08-20,14,Mobile App,0
46,F,Divorced,High,3,597.75,199.25,1,1,2023-07-20,44,Online Banking,0
52,M,Single,High,6,2215.82,369.30333333333334,2,2,2023-04-17,9,Online Banking,0
18,M,Married,Medium,3,292.51,97.50333333333333,0,0,2023-12-11,45,Online Banking,0
18,F,Single,High,4,781.09,195.2725,2,1,2023-03-02,25,Mobile App,0
54,M,Single,Low,3,678.97,226.32333333333335,1,0,2023-12-27,47,Website,1
